areas,bathrooms,bedrooms,latitude,longitude,r$_pmo,coord
52.0,1.0,2.0,-22.909991100000006,-43.2406283,1100,"(-22.909991100000006, -43.2406283)"
82.0,1.0,2.0,-22.9654545,-43.18084520000001,2500,"(-22.9654545, -43.18084520000001)"
64.0,1.0,2.0,-22.8049732,-43.219866107721046,1900,"(-22.8049732, -43.219866107721046)"
119.0,2.0,3.0,-22.9253403,-43.2197594,2300,"(-22.9253403, -43.2197594)"
90.0,3.0,2.0,-22.924047,-43.23641660000001,2300,"(-22.924047, -43.23641660000001)"
60.0,2.0,2.0,-22.9454515,-43.33619829999999,1400,"(-22.9454515, -43.33619829999999)"
75.0,2.0,3.0,-22.9665038,-43.3713193,2500,"(-22.9665038, -43.3713193)"
68.0,2.0,2.0,-22.9079117,-43.2974949,1400,"(-22.9079117, -43.2974949)"
58.0,2.0,2.0,-22.9548472,-43.3765899,1600,"(-22.9548472, -43.3765899)"
95.0,2.0,2.0,-22.9144875,-43.2340037,1700,"(-22.9144875, -43.2340037)"
64.0,2.0,2.0,-23.004933800000003,-43.3312167,2200,"(-23.004933800000003, -43.3312167)"
64.0,1.0,2.0,-22.9258587,-43.3152522,1600,"(-22.9258587, -43.3152522)"
73.0,2.0,3.0,-22.9665038,-43.3713193,2400,"(-22.9665038, -43.3713193)"
70.0,2.0,2.0,-22.9358536,-43.1816344,2600,"(-22.9358536, -43.1816344)"
61.0,3.0,2.0,-22.9258587,-43.3152522,1400,"(-22.9258587, -43.3152522)"
70.0,2.0,2.0,-23.0089194,-43.3070985,4500,"(-23.0089194, -43.3070985)"
80.0,2.0,2.0,-22.8132755,-43.2114737,1900,"(-22.8132755, -43.2114737)"
78.0,2.0,2.0,-22.9729927,-43.3674395,2000,"(-22.9729927, -43.3674395)"
85.0,3.0,3.0,-23.0177482,-43.4667998,1700,"(-23.0177482, -43.4667998)"
66.0,2.0,2.0,-22.9065343,-43.22061420000001,2000,"(-22.9065343, -43.22061420000001)"
110.0,4.0,2.0,-22.9393527,-43.1745967,3700,"(-22.9393527, -43.1745967)"
60.0,2.0,2.0,-22.9308143,-43.371767,1100,"(-22.9308143, -43.371767)"
60.0,2.0,2.0,-22.91750395,-43.395577716649846,1100,"(-22.91750395, -43.395577716649846)"
66.0,3.0,2.0,-22.9014952,-43.3525042,900,"(-22.9014952, -43.3525042)"
90.0,3.0,2.0,-22.912447600000004,-43.2220924,2200,"(-22.912447600000004, -43.2220924)"
75.0,3.0,2.0,-22.9275788,-43.24193629999999,2050,"(-22.9275788, -43.24193629999999)"
85.0,3.0,2.0,-22.922655,-43.2302143,1850,"(-22.922655, -43.2302143)"
