address,areas,bathrooms,bedrooms,parking-spaces,zap_price_pmo,zap_price_cls,zap_price_iptu,latitude,longitude,street,neighborhood,r$_pmo,usd_pmo
"Rua Conde de Bonfim, Tijuca",154 m²,1.0,3.0,1.0,R$ 3.200 /mês,condomínio R$ 1.339,IPTU R$ 182,-22.9279379,-43.236188,Rua Conde de Bonfim, Tijuca,3200,743.83
"Rua Joaquim Nabuco, Ipanema",177 m²,1.0,4.0,1.0,R$ 10.500 /mês,condomínio R$ 2.000,,-22.9872369,-43.196149600000005,Rua Joaquim Nabuco, Ipanema,10500,2440.68
"Avenida Lúcio Costa, Barra da Tijuca",125 m²,,2.0,3.0,R$ 6.500 /mês,condomínio R$ 3.500,IPTU R$ 704,-23.014923800000002,-43.407209,Avenida Lúcio Costa, Barra da Tijuca,6500,1510.9
"Avenida Ayrton Senna, Barra da Tijuca",215 m²,4.0,4.0,3.0,R$ 4.000 /mês,condomínio R$ 2.950,IPTU R$ 659,-22.988001899999997,-43.3660133,Avenida Ayrton Senna, Barra da Tijuca,4000,929.78
"Praca Martins Leao, Itanhangá",70 m²,2.0,2.0,,R$ 1.800 /mês,condomínio R$ 617,IPTU R$ 97,-12.2323038,-56.6418251,Praca Martins Leao, Itanhangá,1800,418.4
"Avenida Vieira Souto, Ipanema",172 m²,3.0,4.0,1.0,R$ 9.000 /mês,condomínio R$ 2.000,IPTU R$ 1.644,-22.9862375,-43.209178200000004,Avenida Vieira Souto, Ipanema,9000,2092.01
"Rua Lagoa das Garças, Barra da Tijuca",145 m²,4.0,3.0,2.0,R$ 4.200 /mês,condomínio R$ 1.800,IPTU R$ 500,-23.0091645,-43.4215641,Rua Lagoa das Garças, Barra da Tijuca,4200,976.27
"Avenida Adolpho de Vasconcelos, Barra da Tijuca",60 m²,,2.0,1.0,R$ 1.500 /mês,condomínio R$ 795,IPTU R$ 103,-22.9997404,-43.3659929,Avenida Adolpho de Vasconcelos, Barra da Tijuca,1500,348.67
"Rua Bricio Filho, Guadalupe",58 m²,1.0,2.0,,R$ 800 /mês,condomínio R$ 120,,-22.836048100000003,-43.377871,Rua Bricio Filho, Guadalupe,800,185.96
"Avenida Luiz Aranha, Barra da Tijuca",163 m²,2.0,4.0,2.0,R$ 4.897 /mês,condomínio R$ 1.490,IPTU R$ 500,-23.0027748,-43.4195583,Avenida Luiz Aranha, Barra da Tijuca,4897,1138.29
"Rua das Amendoeiras, Cosmos",50 m²,1.0,2.0,1.0,R$ 750 /mês,condomínio R$ 270,,-22.9191815,-43.6155325,Rua das Amendoeiras, Cosmos,750,174.33
"Avenida Dom Hélder Câmara, Del Castilho",56 m²,1.0,2.0,1.0,R$ 1.900 /mês,condomínio R$ 370,IPTU R$ 47,-22.880519,-43.2692134,Avenida Dom Hélder Câmara, Del Castilho,1900,441.65
"Rua Ituverava, Anil",70 m²,2.0,2.0,1.0,R$ 1.200 /mês,condomínio R$ 590,IPTU R$ 60,-22.9454515,-43.33619829999999,Rua Ituverava, Anil,1200,278.94
