price,title,furnishing,tenants preferred,bathroom,availability,latitude,longitude,balcony,floor,facing,overlooking,car parking,owner resides,curr_mark,hasLac,inr_pmo,usd_pmo
"₹ 25,000","3 BHK Builder Floor for rent in Manikonda, Outer Ring Road 1800 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,5 out of 5 Floors,,,,,₹,False,25000.0,350.55
"₹ 27,500","3 BHK Apartment for rent in Aditya Imperial Heights, Hafeezpet, NH 9 1500 sqft",,,,,17.4851348,78.358788,,,,,,,₹,False,27500.0,385.61
"₹ 15,000","3 BHK Apartment for rent in Saket Sriyam, Dr A.S. Rao Nagar",,,,,17.4889087684143,78.5695835663441,,,,,,,₹,False,15000.0,210.33
"₹ 20,000",3 BHK Apartment for rent in Toli Chowki 2000 sqft,Unfurnished,Bachelors/Family,2,Immediately,,,,4 out of 5 Floors,,,,,₹,False,20000.0,280.44
"₹ 10,000","2 BHK House for rent in Shilpa Nagar, Secunderabad 1300 sqft",Unfurnished,Family,2,From Mar '20,17.482942581176758,78.60226440429688,1,Ground out of 3 Floors,West,Main Road,1 Covered,,₹,False,10000.0,140.22
"₹ 40,000",3 BHK Apartment for rent in Hitech City 1900 sqft,Furnished,Bachelors/Family,3,Immediately,78.37617492675781,17.447917938232422,2,2 out of 5 Floors,West,Main Road,1 Covered,,₹,False,40000.0,560.88
"₹ 25,000","3 BHK Apartment for rent in Hafeezpet, NH 9",Furnished,Bachelors/Family,2,Immediately,17.4834027,78.3613099,1,3 out of 5 Floors,,,,,₹,False,25000.0,350.55
"₹ 12,000","3 BHK House for rent in Beeramguda, Ramachandra Puram, NH 9 1200 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,17.493444442749027,78.29805755615234,2,Ground out of 1 Floor,East,"Garden/Park, Main Road",,,₹,False,12000.0,168.26
"₹ 21,000","3 BHK Apartment for rent in Manikonda, Outer Ring Road 1250 sqft",Furnished,Bachelors,2,Immediately,17.395299911499027,78.36126708984375,2,,North,"Garden/Park, Main Road","1 Covered, 1 Open",,₹,False,21000.0,294.46
"₹ 12,900",2 BHK House for rent in Sainikpuri 200 sqyrd,Unfurnished,Family,2,From Apr '20,17.4892154,78.5424889,,1 out of 1 Floor,,,"1 Covered, 2 Open",,₹,False,12900.0,180.88
"₹ 13,500","3 BHK Villa for rent in Beeramguda, Ramachandra Puram, NH 9 1600 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,17.51835823059082,78.30586242675781,1,,East,"Main Road, Garden/Park, Pool",,,₹,False,13500.0,189.3
"₹ 43,000","3 BHK Apartment for rent in Aparna Serene Park, Kondapur 2225 sqft",,,,,17.464033800000003,78.33749499999999,,,,,,,₹,False,43000.0,602.95
"₹ 6,000","2 BHK House for rent in Peerzadiguda, NH 2 2 1000 sqft",Unfurnished,Bachelors/Family,2,Immediately,17.307004928588867,78.41996002197266,1,2 out of 2 Floors,North - East,Main Road,,,₹,False,6000.0,84.13
"₹ 17,000",3 BHK Apartment for rent in Praneeth Pranav Zenith 1280 sqft,Furnished,Bachelors,2,Immediately,,,2,5 out of 5 Floors,East,"Pool, Garden/Park, Main Road",,,₹,False,17000.0,238.37
"₹ 49,000","3 BHK Builder Floor for rent in Gachibowli, Outer Ring Road 1600 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,12.9494824,77.5226539,1,1 out of 2 Floors,,,1 Open,,₹,False,49000.0,687.08
"₹ 26,000","2 BHK Apartment for rent in Gachibowli, Outer Ring Road 1025 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,12.9494824,77.5226539,,22 out of 25 Floors,,,,,₹,False,26000.0,364.57
"₹ 10,500",2 BHK House for rent in Gajularamaram 1000 sqft,Unfurnished,Bachelors/Family,2,Immediately,17.5271759,78.4200077,,4 out of 4 Floors,,,,,₹,False,10500.0,147.23
"₹ 8,500","1 BHK Builder Floor for rent in Kukatpally, NH 9",Unfurnished,Bachelors,1,From Mar '20,17.4930841,78.4054408,2,2 out of 3 Floors,East,,,,₹,False,8500.0,119.19
"₹ 22,000","3 BHK Apartment for rent in Janapriya Metropolis, Moti Nagar 1460 sqft",,,,,17.456138,78.42833931,,,,,,,₹,False,22000.0,308.48
"₹ 11,000",3 BHK House for rent in Aminpur,Unfurnished,Bachelors/Family,3,Immediately,17.520318984985348,78.33340454101562,1,1 out of 2 Floors,East,,,,₹,False,11000.0,154.24
"₹ 8,000","1 BHK Apartment for rent in Ameerpet, NH 9",Unfurnished,Bachelors/Family,1,Immediately,17.439186096191403,78.44463348388672,1,2 out of 4 Floors,East,Main Road,,,₹,False,8000.0,112.18
"₹ 9,500",2 BHK Apartment for rent in Alwal 1000 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,17.5022292,78.5088584,,2 out of 2 Floors,,,,,₹,False,9500.0,133.21
"₹ 10,500",2 BHK Apartment for rent in Attapur 1180 sqft,Unfurnished,Bachelors/Family,2,Immediately,17.3847673,77.9793799,2,1 out of 5 Floors,,,,,₹,False,10500.0,147.23
"₹ 20,000","2 BHK House for rent in Old Alwal, Secunderabad, Siddipet Road 2000 sqft",Semi-Furnished,Bachelors,2,Immediately,17.50795555114746,78.49589538574219,2,Ground out of 1 Floor,,,,,₹,False,20000.0,280.44
"₹ 6,000",2 BHK House for rent in Chandrayangutta 650 sqft,Unfurnished,Bachelors/Family,1,Immediately,17.323217,78.47875969830446,,1 out of 2 Floors,,,,,₹,False,6000.0,84.13
"₹ 16,000",3 BHK Builder Floor for rent in Bandlaguda Jagir 1650 sqft,Unfurnished,Family,3,Immediately,17.443832397460938,78.47359466552734,2,4 out of 4 Floors,North,Main Road,1 Covered,,₹,False,16000.0,224.35
"₹ 15,000",3 BHK Apartment for rent in Pragati Nagar 1458 sqft,Furnished,Bachelors/Family,3,Immediately,18.3753409,76.5645988423161,,4 out of 5 Floors,,,,,₹,False,15000.0,210.33
"₹ 8,500","1 BHK House for rent in Malakpet, NH 9",Unfurnished,Bachelors/Family,1,Immediately,17.368732452392578,78.50315856933594,2,1 out of 2 Floors,North,,,,₹,False,8500.0,119.19
"₹ 7,500",2 BHK Builder Floor for rent in Nehru Nagar-Ramanthpur 870 sqft,Semi-Furnished,Bachelors/Family,2,Immediately,,,1,1 out of 4 Floors,,,,,₹,False,7500.0,105.16
"₹ 24,000","2 BHK Apartment for rent in Punjagutta, NH 9 1200 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.426689,78.4524212,1,1 out of 5 Floors,North - East,Garden/Park,1 Covered,,₹,False,24000.0,336.53
₹ 1 Lac,"4 BHK Villa for rent in Grand Boulevard, Gachibowli, Outer Ring Road 4200 sqft",,,,,17.4051398891899,78.3306951696323,,,,,,,₹,True,,
"₹ 18,500","2 BHK Apartment for rent in Ameerpet, NH 9 1150 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.4375012,78.4482505,,1 out of 5 Floors,,,,,₹,False,18500.0,259.41
"₹ 7,000","2 BHK Apartment for rent in Vishal Residency, Kothapet 1000 sqft",,,,,,,,,,,,,₹,False,7000.0,98.15
"₹ 9,000",2 BHK Builder Floor for rent in Nizampet 1052 sqft,Unfurnished,Bachelors/Family,2,From Mar '20,17.515397,78.3817156,,2 out of 4 Floors,,,,,₹,False,9000.0,126.2
"₹ 24,000","3 BHK Builder Floor for rent in Panchavati Colony, Peerzadiguda, NH 2 2 1442 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,2 out of 5 Floors,,,,,₹,False,24000.0,336.53
"₹ 12,500","2 BHK House for rent in Beeramguda, Ramachandra Puram, NH 9 1500 sqft",Semi-Furnished,Family,2,Immediately,17.523033296090276,78.29516603265756,,Ground out of 1 Floor,East,Main Road,2 Covered,,₹,False,12500.0,175.28
"₹ 16,000","1 BHK Penthouse for rent in Banjara Hills, NH 9",Unfurnished,Bachelors/Family,1,Immediately,17.415895462036133,78.43576049804688,3,3 out of 3 Floors,East,"Garden/Park, Main Road",,,₹,False,16000.0,224.35
"₹ 36,000","2 BHK Apartment for rent in Gachibowli, Outer Ring Road 1198 sqft",Semi-Furnished,Family,2,Immediately,17.424196243286133,78.34105682373047,2,10 out of 27 Floors,West,"Garden/Park, Pool, Main Road",1 Covered,,₹,False,36000.0,504.79
"₹ 20,000","3 BHK Apartment for rent in Manikonda, Outer Ring Road 1600 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,17.406845092773438,78.3726806640625,,1 out of 5 Floors,,,,,₹,False,20000.0,280.44
"₹ 21,150","2 BHK House for rent in Aditya Nagar, Hafeezpet 1200 sqft",Furnished,Bachelors/Family,2,Immediately,17.493588,78.3280012,,Ground out of 6 Floors,,,,,₹,False,21150.0,296.57
"₹ 7,500","1 BHK Apartment for rent in Nagarjuna Nagar, Secunderabad",Semi-Furnished,Bachelors/Family,1,From Mar '20,,,1,2 out of 4 Floors,West,Main Road,,,₹,False,7500.0,105.16
"₹ 14,000",3 BHK House for rent in Nagole 1500 sqft,Semi-Furnished,Bachelors/Family,2,Immediately,17.3775306,78.5601231,,1 out of 1 Floor,,,,,₹,False,14000.0,196.31
"₹ 12,500","2 BHK Apartment for rent in Moti Nagar-Erragadda, NH 9 1150 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.4508069,78.422242,2,2 out of 5 Floors,North,Main Road,,,₹,False,12500.0,175.28
"₹ 8,500","2 BHK House for rent in Peerzadiguda, NH 2 2 1100 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.401969909667972,78.6095199584961,,Ground out of 1 Floor,West,Main Road,,,₹,False,8500.0,119.19
"₹ 19,000","2 BHK Apartment for rent in Gachibowli, Outer Ring Road 1200 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.454535067619773,78.34046164550784,,1 out of 5 Floors,,,,,₹,False,19000.0,266.42
"₹ 13,000","2 BHK Apartment for rent in Boduppal, NH 2 2 1600 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.4200755,78.5827841,,Ground out of 3 Floors,,,,,₹,False,13000.0,182.29
"₹ 24,000",2 BHK Apartment for rent in Kondapur 1200 sqft,Semi-Furnished,Bachelors,2,Immediately,17.462682723999027,78.35317993164062,1,1 out of 5 Floors,West,Main Road,,,₹,False,24000.0,336.53
"₹ 15,500","2 BHK Apartment for rent in Sanjeeva Reddy Nagar, NH 9 1000 sqft",Unfurnished,Family,2,Immediately,17.4399061,78.4424934,1,2 out of 2 Floors,East,,,,₹,False,15500.0,217.34
"₹ 31,000",3 BHK Apartment for rent in Madhapur 1500 sqft,Furnished,Bachelors/Family,3,Immediately,17.4408578,78.3916289,,4 out of 5 Floors,,,,,₹,False,31000.0,434.68
"₹ 9,000","1 BHK Apartment for rent in Dilsukh Nagar, NH 9",Furnished,Bachelors/Family,1,Immediately,17.367401123046875,78.52318572998047,,4 out of 5 Floors,North,Main Road,,,₹,False,9000.0,126.2
"₹ 17,000",3 BHK Apartment for rent in Tarnaka 1465 sqft,Unfurnished,Bachelors/Family,3,Immediately,17.4285479,78.5379433,,1 out of 5 Floors,,,,,₹,False,17000.0,238.37
"₹ 11,000","1 BHK House for rent in Hyder Nagar, NH 9",Semi-Furnished,Family,1,Immediately,17.523937225341793,78.42308044433594,1,2 out of 3 Floors,East,Main Road,,,₹,False,11000.0,154.24
"₹ 25,000","3 BHK Apartment for rent in Panchavati Colony, Peerzadiguda, NH 2 2 1550 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,5 out of 5 Floors,,,,,₹,False,25000.0,350.55
"₹ 30,000","3 BHK Apartment for rent in Himayath Nagar, NH 7 1800 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,17.405160903930664,78.48606872558594,3,3 out of 5 Floors,North,Garden/Park,"1 Covered, 1 Open",,₹,False,30000.0,420.66
"₹ 28,000",6 BHK Villa for rent in Attapur 3500 sqft,Unfurnished,Bachelors/Family,6,Immediately,17.3847673,77.9793799,,,,,,,₹,False,28000.0,392.62
"₹ 15,000","1 BHK Apartment for rent in Gachibowli, Outer Ring Road",Unfurnished,Bachelors,1,Immediately,17.44356346130371,78.33977508544922,1,3 out of 5 Floors,East,Main Road,,,₹,False,15000.0,210.33
