price,coord,class
3570128,"(19.0045997, 72.8493739)",1.0
2030487,"(19.1333829, 72.93568509999999)",0.0
4598852,"(18.9705322, 72.821338)",0.0
1179969,"(19.051675600000006, 72.9178845)",0.0
1623718,"(19.0769128, 72.91152)",0.0
2628876,"(19.10399, 72.8636861)",0.0
4538341,"(19.023498, 72.852845)",0.0
2501130,"(18.997695, 72.84900669999998)",0.0
806816,"(19.172349, 72.881314)",0.0
1882548,"(19.1979771, 72.87249179999998)",0.0
501461,"(19.1631138, 72.93809040000002)",0.0
1795216,"(19.1146891, 72.89624189999998)",0.0
3832185,"(19.094047, 72.92266)",0.0
3378543,"(19.0268747, 72.85533520000001)",0.0
2090999,"(19.015075600000007, 72.83464040000001)",0.0
2285979,"(19.1185654, 72.9086844)",0.0
1176607,"(19.0785121, 72.90944350000002)",0.0
1549759,"(19.1102323, 72.8973891)",0.0
450452,"(19.1878099, 72.845366)",0.0
1445731,"(19.2354699, 72.84387480000002)",0.0
4538207,"(19.0045997, 72.8493739)",1.0
457258,"(19.1969201, 72.876083)",0.0
2017108,"(19.0282347, 72.8785587)",0.0
1294268,"(19.1296561, 72.9333067)",1.0
1543036,"(19.0876485, 72.91300389999998)",0.0
2255724,"(19.1219438, 72.89509389999998)",0.0
1516142,"(19.043823, 72.862408)",0.0
1909465,"(19.0174089, 72.8523556)",0.0
995073,"(19.173917000000007, 72.96345910000002)",0.0
1512780,"(19.1768631, 72.85385450000003)",0.0
2299426,"(19.1117865, 72.9108657)",0.0
9140555,"(19.0188042, 72.8301195)",0.0
1210332,"(19.1146891, 72.89624189999998)",0.0
1142990,"(19.160481, 72.9454193)",0.0
1008520,"(19.0461248, 72.9132122)",0.0
1445680,"(19.2354699, 72.84387480000002)",0.0
1075715,"(19.1743576, 72.96274709999999)",0.0
1519504,"(19.084533800000006, 72.9104776)",0.0
1270735,"(19.2012864, 72.84577890000001)",0.0
4370254,"(19.1030511, 72.92766209999998)",0.0
2148148,"(19.176944100000004, 72.9448793)",0.0
1008520,"(19.2022413, 72.8217032)",0.0
857578,"(19.184629, 72.82046500000001)",1.0
941286,"(19.0635465, 72.86205340000002)",0.0
1209888,"(19.188954100000004, 72.835543)",0.0
3570540,"(19.0484216, 72.82252290000002)",0.0
907769,"(19.1969201, 72.876083)",0.0
974802,"(19.2601514, 72.8542872)",0.0
638729,"(19.1969201, 72.876083)",0.0
870689,"(19.2087429, 72.837327)",0.0
1300991,"(19.1615609, 72.9435088)",1.0
2094360,"(19.198916, 72.83785390000001)",0.0
904306,"(19.2077515, 72.83633910000002)",0.0
1556483,"(19.089503, 72.908234)",0.0
772526,"(19.2015895, 72.8176517)",0.0
571468,"(19.1241242, 72.9186723)",0.0
1344626,"(19.0804807, 72.88865849999998)",0.0
1277451,"(19.160481, 72.9454193)",0.0
673624,"(19.1073963, 72.91548379999998)",0.0
806826,"(19.1969201, 72.876083)",0.0
1183330,"(19.1300464, 72.9265818)",1.0
8824552,"(19.01122, 72.82977829999999)",0.0
2054020,"(19.1696379, 72.84588939999998)",0.0
1758187,"(18.9723487, 72.83715450000003)",0.0
1751463,"(19.1623701, 72.9376316)",0.0
1559845,"(19.1696986, 72.85299920000001)",0.0
544769,"(19.1754061, 72.86166519999998)",0.0
3445777,"(18.9805782, 72.82663659999999)",0.0
363121,"(19.2471573, 72.8462833)",0.0
974768,"(19.1743576, 72.96274709999999)",0.0
605196,"(19.160481, 72.9454193)",0.0
3227265,"(19.144455, 72.82492599999998)",0.0
1882574,"(19.0769778, 72.8855147)",0.0
2507854,"(18.9839427, 72.8355243)",0.0
1643888,"(19.1084297, 72.8789493)",0.0
756760,"(19.091763, 72.90845449999998)",0.0
1142990,"(19.1447065, 72.79049909999998)",0.0
1788443,"(19.1572463, 72.84051079999998)",0.0
806816,"(19.1969201, 72.876083)",0.0
1916188,"(19.2354699, 72.84387480000002)",0.0
2017040,"(19.1146891, 72.89624189999998)",0.0
517766,"(19.1969201, 72.876083)",0.0
1909700,"(19.2354699, 72.84387480000002)",0.0
1613632,"(19.1563979, 72.853539)",0.0
1993508,"(19.010749800000006, 72.84433229999998)",0.0
2642323,"(19.1044688, 72.84998)",0.0
907668,"(19.1286729, 72.82449400000002)",0.0
1872486,"(19.1219438, 72.89509389999998)",0.0
1042138,"(19.0856198, 72.91501740000002)",1.0
1344778,"(19.1289207, 72.8619092)",0.0
