areas,bathrooms,bedrooms,r$_pmo,coord,class
41.0,1.0,1.0,1850,"(-22.968132699999998, -43.1830609)",0.0
60.0,2.0,2.0,1400,"(-22.9130141, -43.216724799999994)",0.0
65.0,2.0,1.0,1000,"(-22.928988, -43.3534191)",1.0
82.0,2.0,3.0,1200,"(-22.907383199999998, -43.2876155)",0.0
57.0,2.0,1.0,850,"(-22.8472129, -43.340518599999996)",0.0
103.0,1.0,3.0,3200,"(-22.975583899999997, -43.193523600000006)",0.0
55.0,2.0,2.0,2900,"(-22.9838087, -43.1952591)",0.0
48.0,1.0,2.0,850,"(-22.889453200000002, -43.2898959)",1.0
45.0,1.0,1.0,700,"(-22.8698509, -43.2674381)",0.0
84.0,1.0,2.0,1600,"(-22.923590700000002, -43.2617675)",0.0
105.0,1.0,3.0,3700,"(-22.9600532, -43.208837)",0.0
208.0,5.0,4.0,3900,"(-22.9393527, -43.1745967)",0.0
85.0,1.0,2.0,3500,"(-22.9840518, -43.221537899999994)",0.0
72.0,2.0,2.0,1400,"(-23.018515100000002, -43.4634021)",0.0
120.0,1.0,3.0,1500,"(-22.9396582, -43.3369363)",0.0
300.0,3.0,4.0,15000,"(-22.9387029, -43.17358170000001)",0.0
96.0,2.0,2.0,6800,"(-22.962529699999997, -43.2257912)",0.0
75.0,2.0,2.0,2500,"(-22.988339899999996, -43.3529408)",0.0
80.0,3.0,2.0,2500,"(-22.960081, -43.2091516)",0.0
154.0,1.0,3.0,3000,"(-22.9408899, -43.3422564)",1.0
63.0,2.0,2.0,1200,"(-22.9128075, -43.2141126)",0.0
160.0,1.0,3.0,2950,"(-23.016118399999996, -43.45588950000001)",0.0
45.0,1.0,1.0,900,"(-22.9258587, -43.3152522)",0.0
63.0,1.0,1.0,1700,"(-22.988001899999997, -43.3660133)",0.0
100.0,,2.0,7000,"(-22.9832693, -43.204855)",0.0
53.0,2.0,2.0,2200,"(-22.876306500000002, -43.2680946)",0.0
117.0,2.0,3.0,7200,"(-22.9607745, -43.2028991)",0.0
107.0,3.0,3.0,4300,"(-22.711015600000003, -43.464103)",0.0
42.0,1.0,1.0,590,"(-22.8912676, -43.3031848)",0.0
26.0,1.0,1.0,1050,"(-22.9218044, -43.180240399999995)",1.0
124.0,4.0,3.0,2810,"(-23.0111148, -43.46874260000001)",0.0
82.0,3.0,3.0,1700,"(-23.0160373, -43.45105086987847)",0.0
91.0,2.0,3.0,5000,"(-22.9842762, -43.219898799999996)",0.0
128.0,2.0,3.0,5900,"(-22.9766415, -43.188297)",0.0
65.0,1.0,1.0,2200,"(-22.9173799, -43.18917929999999)",0.0
70.0,1.0,2.0,4200,"(-22.9880907, -43.2278097)",0.0
160.0,2.0,2.0,7500,"(-22.9646379, -43.20259)",0.0
60.0,1.0,2.0,2000,"(-22.951239800000003, -43.1752885)",0.0
70.0,2.0,1.0,1800,"(-22.924047, -43.23641660000001)",0.0
69.0,2.0,2.0,1850,"(-23.0063466, -43.4358159)",0.0
50.0,1.0,2.0,900,"(-22.8355116, -43.3182064)",0.0
136.0,3.0,3.0,2000,"(-22.9258655, -43.2584503)",0.0
150.0,2.0,4.0,4000,"(-22.9662234, -43.382768799999994)",0.0
70.0,2.0,2.0,1300,"(-22.9351193, -43.24199160000001)",0.0
60.0,,2.0,1300,"(-22.912072100000003, -43.2718329)",0.0
100.0,1.0,3.0,1600,"(-22.9306672, -43.242268100000004)",0.0
606.0,6.0,4.0,60000,"(-22.9840518, -43.221537899999994)",0.0
57.0,1.0,1.0,1500,"(-22.3716194, -41.78448270000001)",0.0
41.0,1.0,1.0,1100,"(-23.8277352, -49.431700299999996)",0.0
200.0,4.0,3.0,4500,"(-22.9729585, -43.3822057)",0.0
54.0,,2.0,2200,"(-22.9690461, -43.18946629999999)",0.0
28.0,1.0,1.0,750,"(-22.9287208, -43.2638385)",1.0
104.0,1.0,2.0,1650,"(-22.927070999999998, -43.2286731)",0.0
40.0,1.0,1.0,2800,"(-22.9842762, -43.219898799999996)",0.0
77.0,,2.0,1700,"(-22.9691174, -43.385907399999994)",0.0
79.0,2.0,2.0,3250,"(-22.954389499999998, -43.1867818)",0.0
100.0,3.0,2.0,13000,"(-22.9862375, -43.209178200000004)",0.0
400.0,1.0,3.0,25000,"(-22.9862375, -43.209178200000004)",0.0
160.0,5.0,3.0,6500,"(-22.9938255, -43.35094820000001)",0.0
88.0,2.0,2.0,2800,"(-22.938056600000003, -43.1832597)",0.0
97.0,2.0,3.0,2980,"(-22.9631893, -43.2225979)",0.0
48.0,1.0,2.0,1500,"(-22.9548472, -43.3765899)",0.0
198.0,2.0,4.0,6000,"(-23.014923800000002, -43.407209)",0.0
124.0,4.0,3.0,2890,"(-23.0111148, -43.46874260000001)",0.0
190.0,1.0,4.0,4480,"(-22.9274038, -43.2370177)",0.0
120.0,2.0,3.0,6000,"(-22.981271300000003, -43.2004164)",0.0
82.0,2.0,3.0,2500,"(-12.8059674, -41.3322919)",0.0
130.0,3.0,3.0,3401,"(-22.9323641, -43.1821872)",0.0
52.0,1.0,2.0,1100,"(-22.90999110000001, -43.2406283)",0.0
82.0,1.0,2.0,2500,"(-22.9654545, -43.18084520000001)",0.0
64.0,1.0,2.0,1900,"(-22.8049732, -43.219866107721046)",0.0
119.0,2.0,3.0,2300,"(-22.925340300000002, -43.2197594)",1.0
90.0,3.0,2.0,2300,"(-22.924047, -43.23641660000001)",0.0
60.0,2.0,2.0,1400,"(-22.9454515, -43.33619829999999)",0.0
75.0,2.0,3.0,2500,"(-22.9665038, -43.371319299999996)",0.0
68.0,2.0,2.0,1400,"(-22.9079117, -43.2974949)",1.0
58.0,2.0,2.0,1600,"(-22.9548472, -43.3765899)",0.0
95.0,2.0,2.0,1700,"(-22.9144875, -43.2340037)",0.0
64.0,2.0,2.0,2200,"(-23.004933800000003, -43.3312167)",0.0
64.0,1.0,2.0,1600,"(-22.9258587, -43.3152522)",0.0
73.0,2.0,3.0,2400,"(-22.9665038, -43.371319299999996)",0.0
70.0,2.0,2.0,2600,"(-22.9358536, -43.1816344)",0.0
61.0,3.0,2.0,1400,"(-22.9258587, -43.3152522)",0.0
