,price,bathroom,coord,bhk,sqft,class
362,25000.0,2.0,"(17.4020368, 78.5028963)",3.0,1560.0,1.0
363,25000.0,2.0,"(17.4698577, 78.35782459999999)",2.0,1275.0,0.0
364,25000.0,,"(78.368679, 17.546723)",3.0,3000.0,0.0
365,20000.0,2.0,"(17.485291, 78.60988470000002)",4.0,2600.0,0.0
366,35000.0,,"(78.408363, 17.468479000000002)",3.0,2160.0,0.0
367,23000.0,,"(17.4569282, 78.3895553)",2.0,,0.0
368,11500.0,1.0,"(78.51216888427734, 17.396120071411133)",2.0,850.0,0.0
369,22000.0,2.0,"(17.499282, 78.3848778)",2.0,1600.0,0.0
370,10000.0,2.0,"(17.509399, 78.29983829999998)",2.0,1150.0,0.0
371,18000.0,2.0,"(17.4836979, 78.3158338)",2.0,1300.0,0.0
372,20000.0,3.0,"(78.39419555664062, 17.49826431274414)",3.0,,0.0
373,8000.0,2.0,"(17.485291, 78.60988470000002)",2.0,1550.0,0.0
374,12000.0,2.0,"(17.362971899999998, 78.39432629999997)",3.0,1050.0,0.0
375,9000.0,2.0,"(78.40937042236328, 17.539548873901367)",2.0,1200.0,0.0
376,11000.0,2.0,"(17.2335311, 78.54255429999998)",2.0,1150.0,0.0
377,19000.0,4.0,"(17.517142800000002, 78.315742)",3.0,1800.0,0.0
378,25000.0,2.0,"(17.4989004, 78.3862253)",3.0,1450.0,0.0
379,45000.0,3.0,"(17.4032983, 78.31309509999998)",3.0,2800.0,0.0
380,36000.0,3.0,"(17.4153172, 78.3556287)",3.0,1800.0,0.0
381,25000.0,3.0,"(78.51783752441406, 17.404741287231445)",3.0,1600.0,0.0
382,12500.0,2.0,"(17.491939399999996, 78.51276039999998)",2.0,750.0,0.0
383,9000.0,1.0,"(17.4948682, 78.39914559999998)",1.0,,0.0
384,37000.0,,"(78.404193, 17.406372)",3.0,1990.0,0.0
385,70000.0,,"(78.368989, 17.458604)",4.0,3050.0,0.0
386,18000.0,3.0,"(17.495289899999996, 78.3419955)",3.0,1525.0,0.0
387,35000.0,3.0,"(78.41355895996094, 17.44318962097168)",3.0,2325.0,0.0
388,17000.0,2.0,"(78.33977508544922, 17.44356346130371)",2.0,1000.0,0.0
389,8000.0,1.0,"(17.4578074, 78.2511115)",2.0,800.0,0.0
390,17000.0,,"(78.434899, 17.558674)",3.0,1900.0,0.0
391,12000.0,2.0,"(17.3662087, 78.3982972)",2.0,1175.0,0.0
392,7000.0,,"(78.2939468, 17.5165628)",1.0,,0.0
393,24000.0,,"(78.3661576, 17.4683705)",2.0,1400.0,0.0
394,33500.0,,"(78.37046670000002, 17.490501100000003)",3.0,1915.0,0.0
395,20000.0,1.0,"(17.3662087, 78.3982972)",1.0,,0.0
396,31000.0,3.0,"(17.441863199999997, 78.46169590000002)",3.0,1250.0,0.0
397,36000.0,2.0,"(17.432589399999998, 78.4070691)",3.0,2000.0,0.0
398,11500.0,,"(78.5813358, 17.485980899999998)",3.0,1220.0,0.0
399,15000.0,2.0,"(17.3936156, 78.38351170000001)",3.0,1100.0,0.0
400,6500.0,2.0,"(78.52038050044274, 17.304630756729356)",1.0,,0.0
401,5000.0,10.0,"(78.4609646644786, 17.409763887040036)",,200.0,0.0
402,12000.0,2.0,"(17.399002300000006, 78.4156933)",2.0,450.0,0.0
403,84000.0,3.0,"(78.34130096435547, 17.389989852905273)",3.0,2660.0,0.0
404,40000.0,,"(78.37323, 17.40896)",3.0,2200.0,0.0
405,30000.0,3.0,"(17.369888699999994, 78.4304712)",3.0,1723.0,0.0
406,45000.0,,"(17.4028499, 78.33911169999998)",2.0,1034.0,0.0
407,18000.0,3.0,"(17.488353200000002, 78.3817383)",3.0,1650.0,0.0
408,10000.0,2.0,"(17.4545951, 78.5549542)",2.0,825.0,0.0
409,14000.0,2.0,"(17.5107815, 78.3714418)",2.0,1150.0,0.0
410,15000.0,1.0,"(17.416487600000004, 78.5135489)",2.0,200.0,0.0
411,16000.0,2.0,"(17.4967483, 78.3936193)",2.0,1250.0,0.0
412,12500.0,1.0,"(17.399002300000006, 78.4156933)",1.0,,0.0
413,13000.0,1.0,"(78.39170837402344, 17.479515075683597)",1.0,,0.0
414,15000.0,2.0,"(78.32011413574219, 17.497760772705078)",2.0,1250.0,0.0
415,8500.0,2.0,"(78.54248046875, 17.461673736572266)",2.0,900.0,0.0
416,30000.0,3.0,"(17.5248736, 78.3689344)",3.0,2300.0,0.0
417,18000.0,3.0,"(78.32415008544922, 17.495595932006836)",3.0,1600.0,0.0
418,15000.0,2.0,"(17.3759576, 78.537056)",3.0,280.0,0.0
419,48000.0,,"(78.3314338843939, 17.435046)",3.0,2160.0,0.0
420,20000.0,3.0,"(17.4085878, 78.47532159999999)",3.0,1500.0,0.0
421,65000.0,4.0,"(78.40977478027344, 17.432273864746097)",4.0,2600.0,0.0
