Avg. Rate,Configs,Possession Date,location,price,title,Avg. Price,Built Up Area,Possession Status,Plot Area
18.5k per sqft.,"1, 2, 3 BHK Apartments","Dec, 2022","Malad East, Mumbai",84.53 L - 1.93 Cr,JE Madhuban,,,,
,"2, 3 BHK Apartments",,"Powai, Mumbai",1.78 Cr - 2.47 Cr,GHP Trinity,,,Ready to Move,
,"1, 2.5 BHK Apartments","Dec, 2020","Borivali East, Mumbai",67.32 L - 1.5 Cr,J V Realty Ariana Residency,,,,
,1 BHK Apartment,"Mar, 2022",Malad East,48.5 L,Aarambh,,,,
,"2, 3 BHK Apartments","Oct, 2019","Mulund West, Mumbai",1.85 Cr - 2.99 Cr,Wadhwa Atmosphere Phase 1,,,,
42k per sqft.,"2, 3, 3.5, 4, 5, 6 BHK Apartments","Sep, 2022","Parel, Mumbai",3.72 Cr - 15.19 Cr,Indiabulls Sky Forest A3,,,,
13.47k per sqft.,"1, 2 BHK Apartments","Jun, 2022","Kandivali East, Mumbai",97.0 L - 1.59 Cr,Godrej Tranquil  ,,,,
,"1, 2 BHK Apartments","Dec, 2022","Kandivali East, Mumbai",79.0 L - 1.26 Cr,UK Iridium,,,,
23k per sqft.,"2, 3 BHK Apartments","Jun, 2020","Chembur, Mumbai",1.64 Cr - 2.31 Cr,Reliance Tilak Nagar Nisarg Co Op Hsg Soc Ltd,,,,
,,"31st May, 2020","Agripada, Mumbai",2.75 Cr,2 BHK Apartment, 19.64k / sqft.,1400 sqft.,,
,,"29th Apr, 2021","Bhandup West, Mumbai",1.0 Cr,1 BHK Apartment, 16.67k / sqft.,600 sqft.,,
,,,"Juhu, Mumbai",17.5 Cr,6 BHK Apartment, 48.61k / sqft.,3600 sqft.,,
,,,"Andheri East, Mumbai",3.25 Cr,2 BHK Apartment, 30.95k / sqft.,1050 sqft.,,
,,"30th Dec, 2023","Mahim, Mumbai",4.75 Cr,3 BHK Apartment, 30.65k / sqft.,1550 sqft.,,
18.81k per sqft.,"1, 2 BHK Apartments","Jun, 2023","Borivali East, Mumbai",76.1 L - 1.4 Cr,Parijat Hill View,,,,
19k per sqft.,"1, 2 BHK Apartments","Dec, 2022","Ghatkopar East, Mumbai",84 L - 1.35 Cr,The Baya Junction,,,,
31.54k per sqft.,"1, 2, 3 BHK Apartments","Oct, 2017","Andheri East, Mumbai",1.35 Cr - 3.4 Cr,Sheth Vasant Oasis,,,,
26k per sqft.,"1, 2 BHK Apartments","Dec, 2022","Andheri West, Mumbai",1.0 Cr - 1.58 Cr,Jiraj Hill View CHSL,,,,
,"1, 2 BHK Apartments",,"Kandivali West, Mumbai",96.32 L - 1.6 Cr,Skylon Spaces,,,Ready to Move,
20k per sqft.,"1, 2 BHK Apartments","Dec, 2025","Andheri East, Mumbai",64.65 L - 1.27 Cr,Bindra Legacy,,,,
21.84k per sqft.,1 BHK Apartment,"Dec, 2021","P L Lokhande Marg, Chembur, Mumbai",69.9 L,Vardhan Heights,,,,
,"1, 2, 3 BHK Apartments","Dec, 2019","Chembur, Mumbai",1.16 Cr - 2.55 Cr, Altavista Phase 1,,,,
26.59k per sqft.,"2, 3 BHK Apartments",,"Andheri East, Mumbai",1.86 Cr - 2.85 Cr,Pride Park Royale,,,Under Construction,
,"1, 2 BHK Apartments","Dec, 2022","Vikhroli West, Mumbai",1.04 Cr - 1.52 Cr,Blumen,,,,
,,,"Mulund West, Mumbai",2.1 Cr,3 BHK Apartment, 20.59k / sqft.,1020 sqft.,,
,,,"Dahisar East, Mumbai",99.7 L,2 BHK Apartment, 8.67k / sqft.,1150 sqft.,,
,,,"Mazgaon, Mumbai",2.99 Cr,2 BHK Apartment, 29.9k / sqft.,1000 sqft.,,
,,,"Shivaji Park, Mumbai",1.1 Cr,1 BHK Apartment, 24.44k / sqft.,450 sqft.,,
,,"30th Jul, 2021","Jogeshwari West, Mumbai",2.49 Cr,3 BHK Apartment, 24.49k / sqft.,1016 sqft.,,
23k per sqft.,2 BHK Apartment,"Dec, 2020","Chembur, Mumbai",1.15 Cr - 1.7 Cr,RRB Satra Harmony,,,,
18.23k per sqft.,"1, 2, 3 BHK Apartments","Mar, 2021","Andheri West, Mumbai",1.03 Cr - 1.72 Cr,Paras EL Signora Building 3,,,,
19.6k per sqft.,1 BHK Apartment,"Dec, 2021","Kandivali West, Mumbai",54 L - 63.27 L,Ruparel Optima Ph 1,,,,
22.36k per sqft.,"2, 3 BHK Apartments","Dec, 2022","Mulund West, Mumbai",1.55 Cr - 2.41 Cr,Sheth Montana Phase 1,,,,
17.5k per sqft.,"1, 2 BHK Apartments","Dec, 2020","Dahisar East, Mumbai",79 L - 1.08 Cr,A & O Eminente,,,,
21k per sqft.,"1, 2 BHK Apartments","Dec, 2022","Malad East, Mumbai",64.67 L - 1.19 Cr,Sethia Imperial Avenue,,,,
16.5k per sqft.,"1, 2 BHK Apartments",,"Andheri West, Mumbai",1.16 Cr - 1.88 Cr,Jiraj Hill View,,,Ready to Move,
20.95k per sqft.,"2, 3 BHK Apartments",,"Malad West, Mumbai",1.45 Cr - 1.87 Cr,Gurukrupa Marina Enclave Wings M N Phase II,,,Ready to Move,
19.25k per sqft.,"2, 3, 4 BHK Apartments","Dec, 2020","Dahisar East, Mumbai",1.03 Cr - 2.87 Cr,NRose Northern Heights,,,,
,,"30th Dec, 2021","Dahisar East, Mumbai",71.0 L,1 BHK Apartment, 12.52k / sqft.,567 sqft.,,
,,"30th Dec, 2020","Malad East, Mumbai",1.18 Cr,2 BHK Apartment, 13.88k / sqft.,850 sqft.,,
,,,"Govandi, Mumbai",1.1 Cr,1 BHK Apartment, 18.49k / sqft.,595 sqft.,,
,,"29th Dec, 2021","Borivali East, Mumbai",70.0 L,1 BHK Apartment, 15.56k / sqft.,450 sqft.,,
,,"30th Nov, 2024","Kanjurmarg West, Mumbai",95.0 L,1 BHK Apartment, 14.62k / sqft.,650 sqft.,,
22k per sqft.,1 BHK Apartment,"Dec, 2022","Chembur, Mumbai",1.05 Cr - 1.09 Cr,Crystal Armus A To C,,,,
,1 BHK Apartment,"Jun, 2025","Dahisar East, Mumbai",50.56 L - 67.18 L,VKLAL VISHNU PHASE I,,,,
,"1 RK, 1, 2, 3 BHK Apartments","Jun, 2020","Kandivali West, Mumbai",52.16 L - 1.34 Cr,Parinee Essence,,,,
16.25k per sqft.,2 BHK Apartment,,"Malad West, Mumbai",1.57 Cr - 1.6 Cr,Jiraj Marve Apartment,,,Ready to Move,
13k per sqft.,"1, 2 BHK Apartments","Dec, 2021","Dahisar East, Mumbai",71.52 L - 98.79 L,Raj Rudraksha Building No 11,,,,
26.52k per sqft.,"2, 3 BHK Apartments","Dec, 2019","Malad West, Mumbai",1.99 Cr - 3.35 Cr,Royal Pearl,,,,
19.5k per sqft.,"2, 3 BHK Apartments","Jun, 2018","Kandivali West, Mumbai",1.35 Cr - 1.95 Cr,Dhaval Sunrise Charkop,,,,
