price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,facing,availability,car parking,balcony,owner resides,overlooking
"₹ 18,000","2 BHK Builder Floor for rent in Thiruvalluvar Nagar, Thiruvanmiyur, E Coast Road 850 sqft",,,2 out of 2 Floors,Semi-Furnished,Bachelors,2,,Immediately,1 Open,,,
"₹ 33,000",3 BHK Apartment for rent in Thiruvanmiyur 1430 sqft,,,2 out of 9 Floors,Semi-Furnished,Bachelors/Family,2,North,Immediately,1 Covered,1,,Garden/Park
"₹ 10,000",2 BHK House for rent in Pasumpon Nagar-Pammal 1000 sqft,12.9804363250732,80.131965637207,,Unfurnished,Bachelors,2,East,Immediately,,,,Main Road
"₹ 10,000",2 BHK Villa for rent in Chitlapakkam 950 sqft,,,,Unfurnished,Bachelors/Family,2,,Immediately,,,,
"₹ 7,500",2 BHK House for rent in Tambaram-Velachery Main Road 600 sqft,12.92258358001709,80.14441680908203,1 out of 1 Floor,Unfurnished,Bachelors/Family,1,,Immediately,,,,
"₹ 30,000","3 BHK Apartment for rent in Jains Westminster, Vadapalani 1650 sqft",13.053281,80.204059,,,,,,,,,,
"₹ 35,000","3 BHK Apartment for rent in Asta AVM, Vadapalani 1650 sqft",13.044105,80.204059,,,,,,,,,,
"₹ 12,000","2 BHK House for rent in Gowrivakkam, Sembakkam 900 sqft",,,,Unfurnished,Bachelors/Family,2,,Immediately,1 Covered,,,
"₹ 32,000","3 BHK Apartment for rent in Appaswamy Platina, Porur 1850 sqft",13.032321,80.164703,,,,,,,,,,
"₹ 20,000","2 BHK Builder Floor for rent in Ayyavoo Colony, Bala Vinayagar Nagar 1100 sqft",13.0716094970703,80.2174987792969,Ground out of 2 Floors,Furnished,Family,2,South,Immediately,1 Covered,,,
"₹ 5,000","1 BHK House for rent in Veppampattu, Chennai-Tiruttani Highway",,,1 out of 1 Floor,Unfurnished,Bachelors/Family,1,South - East,Immediately,,,,
"₹ 17,000","3 BHK Apartment for rent in Urapakkam, Vandalur R.F, GST Road 1650 sqft",12.864663124084473,80.07218170166016,1 out of 3 Floors,Semi-Furnished,Bachelors,3,North,Immediately,1 Covered,2,,Main Road
"₹ 20,000",2 BHK Apartment for rent in Cholamandal Artists Village 1500 sqft,,,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,
