price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,balcony,availability,facing,overlooking,car parking,owner resides
"₹ 35,000",2 BHK Builder Floor for rent in Chittaranjan Park,28.537872314453125,77.24923706054688,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,East,"Garden/Park, Main Road",,
"₹ 17,000",1 BHK Apartment for rent in Green Park,28.557674407958984,77.20368957519531,3 out of 4 Floors,Furnished,Bachelors,1,1,Immediately,East,"Garden/Park, Main Road",,
"₹ 18,500",2 BHK Builder Floor for rent in Anand Vihar 1600 sqft,,,3 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,
"₹ 90,000",4 BHK Builder Floor for rent in Sarvodaya Enclave 450 sqyrd,,,Ground out of 4 Floors,Unfurnished,Bachelors/Family,4,2,Immediately,North - East,"Garden/Park, Pool, Main Road",2 Covered,
"₹ 60,000",3 BHK Builder Floor for rent in Saket 250 sqyrd,28.523548126220703,77.20889282226562,1 out of 4 Floors,Unfurnished,Bachelors/Family,3,2,Immediately,East,"Garden/Park, Main Road","2 Covered, 1 Open",
"₹ 42,000","2 BHK Apartment for rent in DDA Flats Block D, Saket 1300 sqft",28.5204481863143,77.2014856137417,,,,,,,,,,
"₹ 5,000","1 BHK House for rent in Bhajanpura, Shahdara",,,,Semi-Furnished,Bachelors,1,1,Immediately,East,Main Road,,
"₹ 24,000",3 BHK Builder Floor for rent in Shadipur 950 sqft,,,3 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,
"₹ 6,000",1 BHK Builder Floor for rent in New Ashok Nagar,28.592716217041016,77.29749298095703,2 out of 4 Floors,Unfurnished,Bachelors/Family,1,,Immediately,East,Main Road,,
"₹ 5,500",1 BHK Builder Floor for rent in New Ashok Nagar,28.592716217041016,77.29749298095703,2 out of 4 Floors,Unfurnished,Bachelors/Family,1,,Immediately,East,Main Road,,
