price,title,latitude,longitude,floor,furnishing,tenants preferred,bathroom,balcony,availability,facing,overlooking,car parking,owner resides,curr_mark,hasLac,inr_pmo,usd_pmo
"₹ 9,500",1 BHK Builder Floor for rent in Saket,28.5244107,77.2137253,4 out of 4 Floors,Unfurnished,Bachelors/Family,1,1,Immediately,,,,,₹,False,9500.0,133.21
"₹ 9,000",1 BHK Apartment for rent in Vikaspuri,28.638419050000003,77.07083614685489,3 out of 3 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,,Garden/Park,,,₹,False,9000.0,126.2
"₹ 12,000",2 BHK Builder Floor for rent in Mayur Vihar 1 600 sqft,28.605365753173828,77.29544067382812,4 out of 4 Floors,Semi-Furnished,Bachelors,1,1,Immediately,East,"Garden/Park, Main Road",,,₹,False,12000.0,168.26
"₹ 20,000",1 BHK Builder Floor for rent in Patel Nagar West,28.6760162,77.422914,Upper Basement out of 4 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,,,,,₹,False,20000.0,280.44
"₹ 55,000","3 BHK Apartment for rent in Azad Apartment, Sri Aurobindo Marg 1500 sqft",28.542597999999998,77.2009124199753,,,,,,,,,,,₹,False,55000.0,771.21
"₹ 25,000",3 BHK Builder Floor for rent in Vivek Vihar 200 sqyrd,28.6691641,77.31226695421603,1 out of 3 Floors,Furnished,Bachelors/Family,2,2,Immediately,North - West,"Garden/Park, Main Road",1 Open,,₹,False,25000.0,350.55
"₹ 25,000",2 BHK Builder Floor for rent in Uttari Pitampura 850 sqft,28.711339950561523,77.14173126220703,3 out of 4 Floors,Unfurnished,Bachelors,2,1,Immediately,North - East,"Garden/Park, Main Road",,,₹,False,25000.0,350.55
"₹ 35,000",2 BHK Builder Floor for rent in Chittaranjan Park,28.537872314453125,77.24923706054688,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,2,Immediately,East,"Garden/Park, Main Road",,,₹,False,35000.0,490.77
"₹ 17,000",1 BHK Apartment for rent in Green Park,28.557674407958984,77.20368957519531,3 out of 4 Floors,Furnished,Bachelors,1,1,Immediately,East,"Garden/Park, Main Road",,,₹,False,17000.0,238.37
"₹ 18,500",2 BHK Builder Floor for rent in Anand Vihar 1600 sqft,28.641115,77.3125024,3 out of 4 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,,₹,False,18500.0,259.41
"₹ 90,000",4 BHK Builder Floor for rent in Sarvodaya Enclave 450 sqyrd,28.5374783,77.2020888,Ground out of 4 Floors,Unfurnished,Bachelors/Family,4,2,Immediately,North - East,"Garden/Park, Pool, Main Road",2 Covered,,₹,False,90000.0,1261.98
"₹ 60,000",3 BHK Builder Floor for rent in Saket 250 sqyrd,28.523548126220703,77.20889282226562,1 out of 4 Floors,Unfurnished,Bachelors/Family,3,2,Immediately,East,"Garden/Park, Main Road","2 Covered, 1 Open",,₹,False,60000.0,841.32
"₹ 42,000","2 BHK Apartment for rent in DDA Flats Block D, Saket 1300 sqft",28.5204481863143,77.20148561374171,,,,,,,,,,,₹,False,42000.0,588.92
"₹ 5,000","1 BHK House for rent in Bhajanpura, Shahdara",,,,Semi-Furnished,Bachelors,1,1,Immediately,East,Main Road,,,₹,False,5000.0,70.11
"₹ 24,000",3 BHK Builder Floor for rent in Shadipur 950 sqft,28.6516362,77.1582947,3 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,,,,₹,False,24000.0,336.53
"₹ 6,000",1 BHK Builder Floor for rent in New Ashok Nagar,28.592716217041016,77.29749298095703,2 out of 4 Floors,Unfurnished,Bachelors/Family,1,,Immediately,East,Main Road,,,₹,False,6000.0,84.13
"₹ 5,500",1 BHK Builder Floor for rent in New Ashok Nagar,28.592716217041016,77.29749298095703,2 out of 4 Floors,Unfurnished,Bachelors/Family,1,,Immediately,East,Main Road,,,₹,False,5500.0,77.12
"₹ 22,300","2 BHK Apartment for rent in Akshardham Apartments, Dwarka Sector 19 1200 sqft",28.584202898792896,77.044187,,,,,,,,,,,₹,False,22300.0,312.69
"₹ 70,000",3 BHK Apartment for rent in Vasant Kunj Sector C 2000 sqft,28.5292495,77.1541335,1 out of 2 Floors,Unfurnished,Bachelors/Family,2,3,Immediately,North - East,"Garden/Park, Main Road",2 Open,,₹,False,70000.0,981.54
